track_id, type, traveled_d, avg_speed, lat, lon, speed, lon_acc, lat_acc, time
74, Taxi,431.93,20.843664,37.980416,23.735182,30.8446,0.0736,0.005,31.8
75, Car,431.22,21.803495,37.980455,23.735266,22.228,0.8978,0.0052,32.4
76, Car,431.16,22.430308,37.980427,23.735215,36.02,-0.1168,-0.0289,32.8
77, Motorcycle,224.87,14.772487,37.980414,23.735193,28.648,0.0289,0.02,33
78, Taxi,409.66,15.556731,37.980459,23.735253,14.7683,0.4542,-0.0092,35.2
79, Car,203.16,26.693204,37.980426,23.735205,36.5168,0.2535,0.0344,35.6
80, Taxi,434.06,14.002072,37.980442,23.735235,15.7867,0.7637,0.0038,35.8
81, Car,116.74,22.355276,37.978084,23.737285,15.5554,-0.1752,-0.3437,36
82, Taxi,432.34,13.996646,37.980415,23.735177,34.8007,0.3151,0.0134,36
83, Car,236.29,15.410333,37.980043,23.736915,18.2506,0.2756,-0.0021,36.2
84, Motorcycle,67.56,5.961171,37.980447,23.735243,12.2827,1.2498,0,37.4
85, Car,114.53,25.451783,37.978081,23.737283,20.9747,-0.4471,-0.3022,38.2
86, Car,407.68,22.860758,37.980057,23.73694,16.9258,0.1064,-0.0068,38.8
87, Medium Vehicle,432.08,23.216014,37.980448,23.735246,3.2056,0.3262,0,39.4
88, Motorcycle,433.08,22.995303,37.980461,23.735272,19.1468,0.5901,0.0645,39.8
89, Taxi,193.34,11.082936,37.980068,23.736951,20.6477,0.157,-0.0119,45.2
90, Car,158.09,16.938526,37.978447,23.735608,24.5337,0.065,0.0058,47.4
91, Car,431.27,14.19175,37.980413,23.735183,12.8218,0.4629,0.0014,48
92, Car,189.01,11.853982,37.980041,23.736914,31.4779,-0.1247,-0.0129,54
93, Car,70.83,3.642846,37.977629,23.737422,0,0,0,59.8
94, Car,34.01,8.503722,37.980052,23.736928,18.4397,0.6119,-0.002,60
95, Motorcycle,147.75,40.916372,37.980459,23.735277,27.2308,0.5195,0.0618,60
96, Motorcycle,404.17,17.572613,37.980041,23.736897,8.4558,-0.0764,0.0026,62
97, Motorcycle,29.76,7.337413,37.980046,23.736909,15.3216,0.4736,-0.0105,62
98, Car,201.23,12.620943,37.978449,23.735601,33.5678,-0.1293,0.0357,62.4
99, Motorcycle,70.74,14.805515,37.980425,23.735228,18.8777,-0.1489,-0.1718,65.2
100, Taxi,431.16,35.276524,37.980419,23.735203,22.4366,-0.3156,-0.0532,66.2
101, Car,315.22,8.609939,37.978453,23.735611,24.644,0.1164,0.0035,66.2
102, Medium Vehicle,307.69,11.302978,37.980457,23.735272,12.3093,-0.1716,-0.024,66.6
103, Motorcycle,428.65,37.63728,37.980424,23.735223,29.1356,-0.249,0.0251,66.8
104, Motorcycle,427.51,39.062176,37.9804,23.73517,25.9965,0.2439,-0.0378,67
105, Car,73.93,11.880843,37.980057,23.736933,17.5154,0.2904,-0.0658,67.6
106, Car,202.87,13.375833,37.978449,23.735604,26.672,0.0176,0.0357,68.2
107, Motorcycle,435.64,22.468678,37.980408,23.735187,29.5391,-0.0345,-0.0839,68.8
108, Bus,432.68,20.93598,37.980425,23.735209,22.357,-0.1309,-0.0081,69
109, Motorcycle,434.16,22.521527,37.980408,23.735193,26.5418,-0.2891,0.0092,69.4
110, Motorcycle,123.85,12.385314,37.978477,23.735672,29.7988,-0.1438,0.0571,70
111, Motorcycle,525.89,17.693359,37.980449,23.735261,27.2958,0.0213,-0.028,70
112, Car,67.52,21.701757,37.977627,23.737411,11.0564,0.1647,0.0658,70.2
113, Motorcycle,150.56,18.311147,37.980453,23.735274,18.1047,0.186,-0.0417,70.4
114, Motorcycle,304.29,15.472454,37.978471,23.735654,31.6426,0.0483,0.033,70.8
115, Motorcycle,379.77,27.563804,37.980432,23.735218,23.403,-0.427,0.0228,71.6
116, Car,429.96,37.569567,37.980437,23.735245,26.345,-0.7264,0.0028,71.6
117, Car,203.41,13.661685,37.978448,23.735604,30.701,0.0268,0.0753,71.8
118, Motorcycle,430.32,38.923854,37.98042,23.735214,35.1546,-0.0672,-0.0417,72.2
119, Car,30.19,12.94053,37.977626,23.737417,10.3102,-0.1929,0.1099,73.4
120, Taxi,316.58,15.115358,37.978448,23.735605,27.9777,-0.0496,-0.0539,73.6
121, Car,496,12.958037,37.980454,23.735274,18.8949,-0.0314,-0.0811,74.2
122, Car,430.28,18.617792,37.980438,23.735245,26.2552,-0.1969,0.0045,74.4
123, Taxi,428.37,37.249581,37.980392,23.735193,35.8959,-0.0593,-0.0325,74.8
124, Car,318.83,15.468712,37.978443,23.735604,27.4255,-0.0392,0.0824,75.2
125, Motorcycle,429.1,40.866438,37.980422,23.735222,46.1217,0.1401,0.0113,75.6
126, Motorcycle,52.21,20.430974,37.977604,23.737423,17.16,-0.4485,0.2408,75.6
127, Car,68.95,4.324277,37.977624,23.737419,6.2015,-0.5077,0.5,76.2
128, Car,429.85,18.422077,37.980453,23.735271,18.2398,-0.1306,-0.0022,76.2
129, Medium Vehicle,430.3,18.663401,37.980438,23.73525,32.9298,0.2304,-0.0725,76.4
130, Taxi,428.03,20.545303,37.980413,23.735186,27.4424,-0.1074,0.0089,76.6
131, Car,33.38,11.781477,37.980048,23.736921,19.3196,0.3763,-0.0045,77
132, Car,315.47,15.557334,37.978447,23.735607,24.4199,-0.1359,0.0564,77.2
133, Motorcycle,432.96,40.589972,37.980444,23.735248,33.3367,0.0695,-0.0135,77.6
134, Taxi,430.25,23.976805,37.980413,23.735196,33.0541,0.0281,0.049,78.4
135, Car,303.62,11.529817,37.980455,23.73527,24.0349,-0.0406,-0.0321,78.8
136, Car,190.93,19.751231,37.980053,23.736932,20.4826,0.3737,-0.0003,79
137, Car,317.19,14.791304,37.978443,23.735604,23.4468,-0.0253,-0.0607,79.4
138, Car,431.05,18.741131,37.98044,23.73524,36.2758,0.1576,0.0106,79.6
139, Motorcycle,158.87,11.53085,37.978615,23.735988,10.1817,-0.3079,-0.013,79.6
140, Car,431.35,30.448037,37.980424,23.735218,35.7423,-0.0462,-0.0023,80.2
141, Motorcycle,67.88,24.934694,37.977628,23.737414,18.9301,0.0046,0.4968,80.6
142, Taxi,427.4,19.329615,37.980405,23.7352,16.2856,0.6927,-0.0124,80.6
143, Car,428.99,20.214361,37.980456,23.735269,22.7102,2.2448,0,80.8
144, Taxi,429.01,18.518593,37.980441,23.735242,8.9611,0.7207,0,82.4
145, Car,321.55,16.728112,37.978443,23.735599,21.0938,0.0263,0.0369,82.6
146, Motorcycle,430.29,20.489981,37.980453,23.73526,13.576,1.2362,0,83.2
147, Medium Vehicle,406.92,17.778062,37.980077,23.736966,15.2188,-0.0519,0.0055,83.2
148, Car,316.83,16.48234,37.978444,23.735599,18.9322,-0.0644,0.0122,84.4
149, Car,429.66,14.703286,37.980441,23.735241,5.8979,0.5942,0,85.8
150, Car,239.47,18.659843,37.978444,23.7356,16.2583,-0.2101,-0.0012,86.4
151, Motorcycle,314.73,19.074725,37.97844,23.735618,22.2287,0.0304,0.0063,88.2
152, Car,318.53,17.269672,37.978443,23.735601,19.6953,0.0164,0.0166,89.2
153, Medium Vehicle,313.96,10.563255,37.978443,23.735608,19.4412,-0.0349,-0.0885,91.4
154, Taxi,202.05,8.806038,37.978443,23.735608,13.23,0.3797,-0.0083,95
155, Car,320.99,11.37359,37.978444,23.735604,3.843,0.3407,0,99.8
156, Taxi,390.94,24.43384,37.980399,23.73517,2.825,-0.3028,0.031,106.2
157, Car,178.01,0.803872,37.980433,23.735218,29.0619,-0.3975,0.022,109.4
158, Car,429.01,29.140208,37.980456,23.735271,9.7286,-0.0435,0.0103,110
159, Motorcycle,430.76,30.406593,37.980446,23.735257,12.1743,-0.4979,0.0135,111
160, Motorcycle,496.37,29.390272,37.980424,23.735232,32.2612,-0.6236,-0.0485,111.2
161, Taxi,427.78,37.019091,37.980425,23.735218,27.1616,-0.3237,-0.0716,112.4
162, Car,429.62,31.56409,37.980406,23.735197,16.5048,-0.4142,-0.0496,113.8
163, Car,141.42,21.390758,37.980448,23.735278,14.8837,0.036,-0.0058,114
164, Taxi,429.72,36.658186,37.980426,23.735226,31.0669,-0.3226,0.0066,114.2
165, Motorcycle,386.17,27.152374,37.980438,23.735253,29.4879,-0.0929,-0.0167,115
166, Car,198.5,21.268337,37.980403,23.735197,23.0158,-0.0938,-0.045,116
167, Car,429.27,32.466173,37.980424,23.735228,36.8298,-0.0862,-0.0118,116.8
168, Car,26.85,15.105398,37.980451,23.735277,19.9467,0.2785,0.0479,117
169, Taxi,430.84,20.248233,37.980437,23.73525,34.5529,-0.2772,-0.0434,117.8
170, Motorcycle,426.23,51.838951,37.980426,23.735277,42.4922,-0.6127,0.0286,118.4
171, Car,425.68,20.597613,37.980408,23.735194,24.5204,-0.0238,-0.0541,118.4
172, Car,429.16,20.599853,37.98045,23.735277,18.5929,0.1266,-0.0121,119
173, Car,428.23,20.832641,37.980427,23.735244,26.3335,-0.2766,-0.0308,120.2
174, Motorcycle,426.41,19.284981,37.98041,23.73521,30.6635,0.0401,-0.0908,120.4
175, Taxi,438.2,18.691118,37.980405,23.735196,28.742,0.0014,0.002,121.6
176, Car,428.71,19.148327,37.980451,23.735273,19.4733,-0.1413,-0.0051,121.8
177, Car,429.84,20.798675,37.980434,23.735244,32.5761,0.6281,-0.2293,122.2
178, Taxi,199.7,13.462994,37.980422,23.735217,32.9547,0.2727,-0.0065,122.6
179, Taxi,430.51,14.063975,37.980411,23.735195,27.8521,0.0079,-0.0363,123.8
180, Taxi,427.3,14.060992,37.980424,23.73522,32.2782,0.1397,-0.0239,124.4
181, Car,431.82,15.421991,37.980441,23.735244,35.4944,-0.2474,-0.0058,124.6
182, Car,260.09,14.316718,37.980456,23.735268,18.3739,1.5728,0,124.8
183, Taxi,200.53,13.270618,37.980407,23.735182,28.0482,-0.0146,0.0052,125.2
184, Motorcycle,430.21,21.875195,37.980439,23.735243,42.0391,0.1659,-0.0139,126.2
185, Car,273.25,10.692245,37.978447,23.735609,16.8632,-0.1347,-0.1072,127.2
186, Motorcycle,69.76,16.96902,37.977619,23.737408,15.0164,-0.0913,0.1521,127.8
187, Car,211.71,14.885696,37.978453,23.735606,17.9626,0.0206,0.0747,129.4
188, Motorcycle,190.54,16.648724,37.978461,23.735665,19.5876,0.0317,-0.0156,130
189, Car,34.23,3.582614,37.979309,23.737155,6.5118,-0.4025,-0.3239,130.2
190, Car,28.95,2.180133,37.98004,23.736908,21.9114,0.7238,0.0092,130.6
191, Car,312.43,12.278895,37.978446,23.735611,18.9003,-0.0485,-0.0939,131.6
192, Car,136.36,12.272793,37.979802,23.736428,0.0004,0.0003,0,134.4
193, Medium Vehicle,221.38,10.165527,37.978448,23.735609,17.4599,0.0078,-0.006,135
194, Motorcycle,101.52,24.695055,37.979585,23.736087,28.3524,-0.0064,0.0134,137.4
195, Taxi,314.88,10.8786,37.978448,23.735609,17.9845,-0.0088,-0.0768,138.4
196, Taxi,203.83,10.079603,37.978455,23.735609,17.9595,-0.0233,-0.0053,141.8
197, Motorcycle,202.51,13.966549,37.978703,23.736553,5.3378,-0.7743,0.1878,143.2
198, Taxi,230.66,10.983616,37.978455,23.735617,20.0539,0.0232,-0.0041,144.8
199, Car,170.1,19.627235,37.978343,23.737786,21.29,0.217,-0.0008,146
200, Car,169.19,23.792557,37.978346,23.737787,17.0891,-0.4434,0.1554,150.6
201, Car,430.28,30.254188,37.98042,23.735221,29.8478,-0.0179,0.0202,156
202, Car,29.12,3.882926,37.980048,23.736924,19.7759,0.505,0.0068,156.2
203, Car,199.23,28.016733,37.980419,23.735217,30.0923,0.0102,0.086,157.4
204, Motorcycle,427.63,47.80994,37.980422,23.735247,51.9511,0.0173,0.053,157.4
205, Car,585.23,15.8407,37.980443,23.735272,33.855,-0.012,-0.0136,157.8
206, Car,429.18,33.014199,37.980436,23.735249,28.9486,-0.1669,0.0075,158.8
207, Motorcycle,181.9,11.40812,37.978494,23.7357,45.4655,0.4984,0.0005,159.6
208, Motorcycle,427.23,44.710538,37.980437,23.735273,40.148,-0.2394,0.0419,159.8
209, Motorcycle,429.75,43.458125,37.980428,23.735231,50.2495,-0.0028,-0.1174,160
210, Bus,427.54,17.293728,37.980404,23.735201,22.9707,-0.0014,0.0024,160.2
211, Car,71.57,24.773368,37.977625,23.737405,12.4016,-0.157,0.1645,160.8
212, Motorcycle,35.79,14.00514,37.977792,23.737465,8.0422,-0.5175,-0.0401,161.2
